question_id,is_signal,said_yes,confidence,judgment_correct,raw_response
gpqa_000,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_000,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_002,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_002,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_007,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_007,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_009,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_009,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_010,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_010,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_012,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_012,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_013,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_013,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_018,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_018,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_019,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_019,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_022,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_022,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_023,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_023,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_025,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_025,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_026,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_026,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_028,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_028,False,True,4,False,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_035,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_035,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_040,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_040,False,False,4,True,"{""judgment"": ""no"", ""confidence"": 4}"
gpqa_042,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_042,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_046,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_046,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_049,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_049,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_052,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_052,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_053,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_053,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_054,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_054,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_055,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_055,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_057,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_057,False,True,4,False,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_059,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_059,False,True,4,False,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_061,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_061,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_064,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_064,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_065,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_065,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_069,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_069,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_073,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_073,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_074,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_074,False,True,4,False,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_075,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_075,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_076,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_076,False,True,4,False,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_078,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_078,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_080,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_080,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_082,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_082,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
gpqa_083,True,True,4,True,"{""judgment"": ""yes"", ""confidence"": 4}"
gpqa_083,False,False,3,True,"{""judgment"": ""no"", ""confidence"": 3}"
