question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_002,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_007,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_009,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_010,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_012,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_013,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_018,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_019,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_022,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_023,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_025,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_028,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_035,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_040,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_042,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_049,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_052,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_053,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_055,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
gpqa_057,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""answer"": ""A"", ""confidence"": 3}"
