question_id,is_signal,said_yes,confidence,judgment_correct,raw_response
gpqa_000,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_000,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_002,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_002,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_007,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_007,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_009,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_009,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_010,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_010,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_012,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_012,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_013,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_013,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_018,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_018,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_019,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_019,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_022,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_022,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_023,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_023,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_025,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_025,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_026,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_026,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_028,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_028,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_035,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_035,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_040,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_040,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_042,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_042,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_046,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_046,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_049,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_049,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_052,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_052,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_053,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_053,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_054,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_054,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_055,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_055,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_057,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_057,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_059,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_059,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_061,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_061,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_064,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_064,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_065,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_065,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_069,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_069,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_073,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_073,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_074,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_074,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_075,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_075,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_076,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_076,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_078,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_078,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_080,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_080,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_082,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_082,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_083,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_083,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_084,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_084,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_087,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_087,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_088,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_088,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_090,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_090,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_094,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_094,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_097,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_097,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_098,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_098,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_099,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_099,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_100,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_100,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_101,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_101,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_102,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_102,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_103,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_103,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_104,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_104,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_106,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_106,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_110,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_110,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_113,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_113,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_114,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_114,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_116,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_116,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_117,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_117,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_118,True,False,2,False,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_118,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_119,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_119,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_125,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_125,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_127,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_127,False,True,3,False,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_129,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_129,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
gpqa_131,True,True,3,True,"{""judgment"": ""yes"", ""confidence"": 3}"
gpqa_131,False,False,2,True,"{""judgment"": ""no"", ""confidence"": 2}"
