question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"```json
{
  ""A"": 70,
  ""B"": 15,
  ""C"": 10,
  ""D"": 5,
  ""most_likely"": ""A""
}
```"
gpqa_002,0.6595,0.7778,0.1183,False,0.7054,"```json
{
  ""A"": 70,
  ""B"": 15,
  ""C"": 10,
  ""D"": 5,
  ""most_likely"": ""A""
}
```"
gpqa_007,0.6595,0.7778,0.1183,False,0.7054,"```json
{
  ""A"": 70,
  ""B"": 15,
  ""C"": 10,
  ""D"": 5,
  ""most_likely"": ""A""
}
```"
gpqa_009,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_010,0.6595,0.8571,0.1976,False,0.6419,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_012,0.6595,0.6667,0.0072,True,0.9943,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_013,0.6595,0.6667,0.0072,False,0.7943,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_018,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_019,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_022,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_023,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_025,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_026,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_028,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_035,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_040,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_042,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_046,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_049,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_052,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_053,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_054,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_055,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_057,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_059,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_061,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_064,0.6595,0.75,0.0905,True,0.9276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_065,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_069,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_073,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_074,0.6595,0.4444,0.2151,True,0.8279,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_075,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_076,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_078,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_080,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_082,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_083,0.6595,0.8571,0.1976,False,0.6419,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
