task_id,task_slug,model,provider_model_raw,n_rows_csv,log_mean_score,log_completion_count,log_completion_total,log_parse_failures,budget_failure,other_failure,run_state,run_start,run_end,run_num_requests,run_result_value,task_version
t01,t01-msv_delegate_game,claude-haiku-4-5-20251001,anthropic_claude-haiku-4-520251001,80,0.6712,80,80,0,False,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-15T02:23:23.553928Z,2026-04-15T02:24:22.991237Z,80,0.6712,1
t01,t01-msv_delegate_game,claude-opus-4-1-20250805,anthropic_claude-opus-4-120250805,80,0.7056,80,80,0,False,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-18T23:47:22.289414Z,2026-04-18T23:50:11.831851Z,80,0.7056,1
t01,t01-msv_delegate_game,claude-opus-4-6-default,anthropic_claude-opus-4-6default,26,0.7192,26,80,0,True,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-17T04:57:15.108344Z,2026-04-17T04:58:21.914722Z,26,0.2338,1
t01,t01-msv_delegate_game,deepseek-r1-0528,deepseek-ai_deepseek-r1-0528,2,1.0,2,80,0,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}",BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-16T20:15:59.664489Z,2026-04-16T20:18:59.967690Z,2,0.025,1
t01,t01-msv_delegate_game,deepseek-v3.2,deepseek-ai_deepseek-v3.2,19,0.7553,19,80,0,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}",BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-17T09:40:58.613099Z,2026-04-17T09:44:51.682243Z,19,0.1794,1
t01,t01-msv_delegate_game,gemini-2.0-flash-lite-001,google_gemini-2.0-flash-lite,80,0.5212,80,80,0,False,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-15T19:12:38.574083Z,2026-04-15T19:13:54.047619Z,80,0.5212,1
t01,t01-msv_delegate_game,gemini-2.5-flash,google_gemini-2.5-flash,70,0.3093,70,80,0,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-14T23:33:41.510298Z,2026-04-15T00:10:54.637078Z,70,0.2706,1
t01,t01-msv_delegate_game,gemini-3.1-pro-preview,google_gemini-3.1-pro-preview,74,0.8581,74,80,0,True,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-17T04:57:17.895454Z,2026-04-17T05:06:57.440056Z,74,0.7938,1
t01,t01-msv_delegate_game,gemma-3-12b-it,google_gemma-3-12b,80,0.4,80,80,0,False,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-17T14:26:50.605125Z,2026-04-17T14:32:49.616121Z,80,0.4,1
t01,t01-msv_delegate_game,gemma-3-1b-it,google_gemma-3-1b,80,0.35,80,80,0,False,,BENCHMARK_TASK_RUN_STATE_COMPLETED,2026-04-15T02:21:33.918090Z,2026-04-15T02:23:35.691060Z,80,0.35,1
