split_idx,spearman_rho,kendall_tau,pearson_r
0,0.8173078230424824,0.6564567138399026,0.7932189513397186
1,0.9056230935148384,0.7581717339784642,0.8648937091226272
2,0.944375801417484,0.8389678607652095,0.934901065891234
3,0.8058224985867722,0.6244541484716157,0.8175613379488774
4,0.8545275662603056,0.6880055040660489,0.8159964641857178
5,0.7615820424498234,0.5956578039756051,0.7378111371074983
6,0.9086799988921774,0.755465718324592,0.827622702970422
7,0.7222379491494311,0.5664501460758641,0.735712248469236
8,0.8589997517270229,0.705884028186846,0.8164860992309829
9,0.8514432602880976,0.703298401882022,0.7813721918245967
10,0.7020378011375794,0.5186925933681366,0.7492395643198004
11,0.9010391998610403,0.7465084730921722,0.8651085695032308
12,0.684091578595764,0.6100232342355459,0.6357493132282019
13,0.7842995428028751,0.619729600170861,0.7752438897035998
14,0.7660892027851742,0.5731474434801846,0.8087598821053749
15,0.8142496567546581,0.6419275178827458,0.8059163559810525
16,0.8606951459738525,0.6971694105549096,0.8529305425250334
17,0.9165846076780866,0.7815772512134967,0.9235370116723172
18,0.9535114914857866,0.8446282172629714,0.9258097055541508
19,0.9332768255387528,0.8271354594382773,0.8862120482485375
20,0.8313083123621385,0.6710255576591004,0.7935175970163793
21,0.8093471810089021,0.6374501992031872,0.816242794717463
22,0.8127306573895955,0.6272171140804912,0.7372843445552936
23,0.8367149074818866,0.6347419188140273,0.8099239761876577
24,0.6113624492927627,0.5283893174408996,0.37893202548965615
25,0.8299197963121752,0.6442605526740357,0.744402512984818
26,0.8414806778431164,0.7145986458187823,0.861706522281918
27,0.950544132072449,0.8366600265340756,0.9458255275396391
28,0.7883141565462289,0.6345432698329742,0.7622094431695331
29,0.8453544319422628,0.6747818997608768,0.8253116395158387
30,0.8146498640925649,0.669340021406929,0.8192490171984917
31,0.9118147301980826,0.7729331337771838,0.8757773917028382
32,0.851485565868922,0.7094316587937893,0.8269019184647011
33,0.8273986152324431,0.653386454183267,0.8129415772467957
34,0.8832265581639075,0.7545045450053531,0.8986115675144988
35,0.9077324853215533,0.746420027292179,0.8461925099454257
36,0.8558100426857936,0.6914677385780307,0.8416145325883195
37,0.9096539112117117,0.7815772512134967,0.8866691238780244
38,0.7840377687536266,0.6374011242825941,0.7762631879289416
39,0.9116773874319645,0.776,0.9249552680751205
40,0.9276428842250796,0.8035011108192192,0.9114995573121732
41,0.8412973766146925,0.6613239732463669,0.7533288527128792
42,0.897428687988495,0.7494571163465278,0.8715675859181459
43,0.9191177940789161,0.7702425442388191,0.885954887413265
44,0.8381895667767498,0.6725290967996834,0.8350193748670436
45,0.8545994065281898,0.7091633466135459,0.8333734713918983
46,0.8673928047402408,0.730552019767088,0.8522704088018174
47,0.6744976211312719,0.6167400881057268,0.47963939398651206
48,0.8502479414999266,0.7014154818582664,0.8296627748064904
49,0.830599680372239,0.6579010647913663,0.8251443993441668
50,0.8869423418663589,0.7146122136752029,0.8550497447972644
51,0.9062148338943002,0.7695724912677526,0.8912892964456107
52,0.7365592577367625,0.5714299515291428,0.7257321768288433
53,0.8618472295657735,0.7309295893012739,0.8475850960520855
54,0.8988700564971752,0.7347826086956522,0.872164823186018
55,0.7023742227247033,0.5895196506550218,0.5450158125895019
56,0.7374222724703221,0.5807860262008734,0.7504712797916735
57,0.8386540296741654,0.6800054400652809,0.8268987191376909
58,0.8574266002603077,0.732484322038056,0.8134669237399805
59,0.8105204916400535,0.6389512014708385,0.7888657839978621
60,0.9282356136729073,0.8016048160562024,0.9281795698874422
61,0.8032665427838597,0.664,0.8001598020750509
62,0.7913884883145413,0.6320050560606728,0.7812753982061442
63,0.935459940652819,0.8127490039840638,0.9406704254102348
64,0.9375488005831042,0.8169427512470784,0.9221663948981129
65,0.8683364663737554,0.7489939926655237,0.8158471109533671
66,0.8383267382702092,0.6462882096069869,0.8171284717473839
67,0.8852779148047022,0.719426529071889,0.8222458741999603
68,0.8800398168476731,0.7145836696082445,0.8805977350405598
69,0.9174674957603165,0.7816593886462883,0.8869190550505449
70,0.8921059416931034,0.7374764307717061,0.9101840670636446
71,0.8518037498910149,0.6666685836066171,0.8111019715002814
72,0.8852054522522798,0.7225563295704982,0.8489089929682506
73,0.7918553302833738,0.6564567138399026,0.8158083329448762
74,0.7284654357986325,0.5971955879618708,0.7403748836102627
75,0.8857478814764798,0.7265205089713186,0.8407280695379008
76,0.8249937561735473,0.6594137955557838,0.8118532340332194
77,0.9249456560249452,0.7766992659639711,0.9073892962764326
78,0.7190950255719786,0.5921109583122297,0.7476202331601135
79,0.8312607320249722,0.6593949333353375,0.7976848379374056
80,0.8557290158197887,0.6800054400652809,0.8482869693273135
81,0.77595501775922,0.6549592916258673,0.7533580751845697
82,0.9381006218202373,0.816593886462882,0.9314937844361386
83,0.9244699227258953,0.7719372493552032,0.8866087928419747
84,0.8682023011523687,0.6859481559846822,0.8160922227940312
85,0.8749690785627792,0.7148594377510041,0.8505295108258575
86,0.9567674866275329,0.8366032926658915,0.89975493033564
87,0.9023002996754806,0.7465084730921722,0.9040919525763772
88,0.9126625211984172,0.7467248908296943,0.8891460075988953
89,0.7866629305289579,0.5664501460758641,0.7595484646393774
90,0.7400445440320829,0.5708594205998965,0.7733079544473705
91,0.8683172572872612,0.7054235703260279,0.8578248566981905
92,0.9060104160392779,0.7704606166138462,0.9076250610652374
93,0.896522512506327,0.7527370318697549,0.8814172436009582
94,0.9055963821368004,0.7554585152838428,0.8791436196250161
95,0.6606386248479538,0.5838793813397368,0.6290016994822453
96,0.9324295434751058,0.7904231589112376,0.9266594039488446
97,0.7701444670137807,0.63319381015645,0.7940924762256354
98,0.888669084541696,0.7465084730921722,0.846029991659776
