question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_002,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_007,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_009,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_010,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_012,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_013,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_018,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_019,D,D,False,True,True,1.0,"```json
{""answer"": ""D"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_022,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""answer"": ""B"", ""confidence"": 5}
```"
