question_id,answer,correct,confidence,delegated,difficulty
gpqa_000,C,1,4.0,0,0.7778
gpqa_002,B,1,4.0,0,0.7778
gpqa_007,B,1,3.0,0,0.7778
gpqa_009,B,1,4.0,0,0.8889
gpqa_010,C,1,4.0,0,0.8571
gpqa_012,A,1,3.0,0,0.6667
gpqa_013,A,0,3.0,0,0.6667
gpqa_018,B,0,3.0,0,0.875
gpqa_019,D,1,4.0,0,0.7778
gpqa_022,D,0,3.0,0,0.8889
gpqa_023,B,1,3.0,0,0.8889
gpqa_025,B,1,4.0,0,0.8889
gpqa_026,A,1,4.0,0,0.8889
gpqa_028,A,1,4.0,0,0.7778
gpqa_035,C,1,4.0,0,0.8889
gpqa_040,A,1,4.0,0,0.875
gpqa_042,A,1,4.0,0,0.8889
gpqa_046,A,1,4.0,0,0.8889
gpqa_049,C,1,4.0,0,0.875
gpqa_052,B,1,4.0,0,0.875
gpqa_053,C,1,4.0,0,0.875
gpqa_054,A,1,4.0,0,0.7778
gpqa_055,B,1,4.0,0,0.8889
gpqa_057,C,1,4.0,0,0.8889
gpqa_059,A,1,4.0,0,0.8889
gpqa_061,A,1,4.0,0,0.7778
gpqa_064,A,1,4.0,0,0.75
gpqa_065,D,1,4.0,0,0.7778
gpqa_069,D,1,3.0,0,0.8889
gpqa_073,C,1,4.0,0,0.8889
gpqa_074,A,1,4.0,0,0.4444
gpqa_075,C,0,3.0,0,0.8889
