question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,B,C,0,0,0,980,1024,1024,989,7,1173,25.6
gpqa_002,A,B,0,0,0,1024,713,1024,1024,7,1240,20.5
gpqa_007,A,B,0,0,0,466,828,1024,269,7,776,14.6
gpqa_009,A,B,0,0,0,808,885,816,539,7,723,16.9
gpqa_010,D,C,0,0,0,271,415,655,169,7,603,8.8
gpqa_012,D,A,0,0,0,871,750,742,351,7,727,15.0
gpqa_013,B,B,1,0,0,312,432,755,110,7,294,9.2
gpqa_018,C,A,0,0,0,428,401,726,292,7,871,10.7
gpqa_019,B,D,0,0,0,356,531,849,171,7,405,10.7
gpqa_022,A,B,0,0,0,281,728,907,134,7,445,11.6
gpqa_023,D,B,0,0,0,993,508,1024,736,7,997,17.8
gpqa_025,A,B,0,0,0,619,507,916,137,7,545,12.1
gpqa_026,D,A,0,0,0,596,446,830,185,7,384,10.9
gpqa_028,A,A,1,0,0,508,584,1024,183,7,622,12.9
gpqa_035,A,C,0,0,0,192,307,1024,159,7,350,9.6
gpqa_040,D,A,0,0,0,285,396,840,314,7,498,10.3
gpqa_042,D,A,0,0,0,447,640,717,273,7,580,11.1
gpqa_046,A,A,1,0,0,548,639,697,171,7,426,11.1
gpqa_049,D,C,0,0,0,200,452,1024,752,7,989,12.6
gpqa_052,D,B,0,0,0,327,539,932,479,7,746,11.6
gpqa_053,A,C,0,0,0,622,504,1015,188,7,410,12.2
gpqa_054,D,A,0,0,0,695,657,983,260,7,499,13.8
gpqa_055,D,B,0,0,0,834,711,1024,683,7,979,17.5
gpqa_057,D,C,0,0,0,202,456,778,277,7,400,9.1
gpqa_059,D,A,0,0,0,705,611,1024,283,7,524,13.9
gpqa_061,A,A,1,0,0,363,585,971,344,7,633,11.8
gpqa_064,D,A,0,0,0,408,395,557,367,7,695,9.3
gpqa_065,C,D,0,0,0,320,542,856,641,7,801,12.5
gpqa_069,C,D,0,0,0,491,507,1024,211,7,412,12.0
gpqa_073,D,C,0,0,0,915,517,1024,942,7,1147,17.7
gpqa_074,D,A,0,0,0,259,494,846,155,7,830,9.8
gpqa_075,D,B,0,0,0,209,453,1024,182,7,439,10.1
gpqa_076,C,B,0,0,0,326,546,1024,302,7,909,11.8
gpqa_078,A,D,0,0,0,359,736,825,940,7,1363,15.0
gpqa_080,C,C,1,0,0,478,546,884,390,7,675,12.2
gpqa_082,B,B,1,0,0,1024,394,831,966,7,1195,16.2
gpqa_083,B,B,1,0,0,246,398,1024,160,7,324,9.6
gpqa_084,D,A,0,0,0,1024,473,1024,784,7,1108,17.4
gpqa_087,B,B,1,0,0,258,406,730,154,7,358,9.0
gpqa_088,D,A,0,0,0,366,468,869,150,7,442,10.5
gpqa_090,D,A,0,0,0,572,592,803,386,7,658,13.0
gpqa_094,B,B,1,0,0,295,555,829,249,7,541,10.7
gpqa_097,A,B,0,0,0,511,740,1013,179,7,393,13.5
gpqa_098,A,A,1,0,0,252,489,917,394,7,790,11.5
gpqa_099,A,C,0,0,0,498,528,593,84,7,347,9.7
gpqa_100,A,A,1,0,0,335,480,1009,175,7,433,11.3
gpqa_101,B,C,0,0,0,285,475,812,402,7,877,11.1
gpqa_102,C,C,1,0,0,478,388,769,156,7,537,9.7
gpqa_103,A,C,0,0,0,496,599,1024,1024,7,1283,16.3
gpqa_104,A,B,0,0,0,739,449,768,96,7,373,11.1
gpqa_106,A,A,1,0,0,118,667,1024,127,7,444,10.5
gpqa_110,A,A,1,0,0,555,767,1024,1024,7,1404,17.5
gpqa_113,A,C,0,0,0,600,495,751,220,7,444,10.5
gpqa_114,C,B,0,0,0,869,504,1024,248,7,467,13.3
gpqa_116,D,A,0,0,0,429,554,1024,818,7,1081,14.7
gpqa_117,C,B,0,0,0,269,446,820,227,7,435,9.1
gpqa_118,D,A,0,0,0,421,678,1024,159,7,514,12.3
gpqa_119,D,A,0,0,0,305,370,1024,147,7,305,10.0
gpqa_125,D,B,0,0,0,603,588,1024,134,7,430,12.2
gpqa_127,D,A,0,0,0,725,381,1024,234,7,3084,13.6
gpqa_129,D,A,0,0,0,824,556,973,423,7,586,14.4
gpqa_131,D,C,0,0,0,426,579,677,416,7,783,11.2
gpqa_134,A,C,0,0,0,725,479,935,284,7,679,12.8
gpqa_135,D,D,1,0,0,859,988,959,884,7,1105,18.4
gpqa_137,D,A,0,0,0,251,374,992,1024,7,1232,13.7
gpqa_146,D,A,0,0,0,1005,655,1024,541,7,717,17.6
gpqa_148,C,D,0,0,0,248,497,1024,368,7,654,11.2
gpqa_149,D,D,1,0,0,617,814,1024,520,7,809,15.5
gpqa_156,D,D,1,0,0,251,450,1024,179,7,425,10.7
gpqa_157,C,D,0,0,0,214,375,1024,167,7,413,10.1
gpqa_164,A,D,0,0,0,156,357,597,158,7,472,7.4
gpqa_165,D,D,1,0,0,586,650,817,516,7,1456,14.4
gpqa_168,C,C,1,0,0,337,519,741,199,7,455,10.2
gpqa_169,C,C,1,0,0,1024,1024,1024,842,7,1031,20.2
gpqa_170,C,A,0,0,0,471,658,932,382,7,652,12.9
gpqa_173,B,A,0,0,0,1024,570,1024,1024,7,1269,19.7
gpqa_175,C,B,0,0,0,1024,624,1024,936,7,1250,19.4
gpqa_180,A,B,0,0,0,486,675,955,253,7,567,13.2
gpqa_184,D,D,1,0,0,366,507,1024,170,7,390,11.6
gpqa_188,C,C,1,0,0,224,445,835,132,7,255,9.4
