question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,C,C,1,0,0,279,362,404,203,7,376,9.5
gpqa_002,C,B,0,0,0,1024,296,767,14,7,223,11.3
gpqa_007,C,B,0,0,0,305,324,490,292,7,788,8.1
gpqa_009,B,B,1,0,0,187,346,479,170,7,350,6.6
gpqa_010,D,C,0,0,0,164,295,389,647,7,1073,8.1
gpqa_012,B,A,0,0,0,408,464,521,225,7,597,8.8
gpqa_013,B,B,1,0,0,264,401,539,259,7,439,7.8
gpqa_018,D,A,0,0,0,252,339,558,359,7,934,8.4
gpqa_019,D,D,1,0,0,174,313,401,268,7,498,6.5
gpqa_022,D,B,0,0,0,301,456,583,383,7,690,9.7
gpqa_023,B,B,1,0,0,300,350,501,1024,7,1276,11.7
gpqa_025,C,B,0,0,0,284,431,723,268,7,672,9.1
gpqa_026,B,A,0,0,0,214,364,434,279,7,474,6.9
gpqa_028,C,A,0,0,0,271,341,519,313,7,745,7.9
gpqa_035,C,C,1,0,0,267,397,550,234,7,420,7.9
gpqa_040,B,A,0,0,0,268,342,666,284,7,464,8.5
gpqa_042,D,A,0,0,0,340,374,478,253,7,555,7.8
gpqa_046,A,A,1,0,0,251,350,410,292,7,534,7.1
gpqa_049,B,C,0,0,0,172,409,464,269,7,502,7.1
gpqa_052,C,B,0,0,0,244,344,743,335,7,582,8.9
gpqa_053,C,C,1,0,0,408,379,534,216,7,434,8.2
gpqa_054,B,A,0,0,0,264,409,577,196,7,430,7.8
gpqa_055,D,B,0,0,0,309,343,501,345,7,637,8.0
gpqa_057,D,C,0,0,0,183,404,447,240,7,359,7.0
gpqa_059,D,A,0,0,0,412,363,480,414,7,640,9.1
gpqa_061,C,A,0,0,0,257,370,458,460,7,745,8.3
gpqa_064,C,A,0,0,0,213,466,509,369,7,691,8.5
gpqa_065,D,D,1,0,0,206,374,512,295,7,451,7.7
gpqa_069,C,D,0,0,0,263,447,448,289,7,487,7.8
gpqa_073,C,C,1,0,0,1024,369,277,489,7,680,11.7
gpqa_074,A,A,1,0,0,288,374,435,338,7,1006,7.9
gpqa_075,D,B,0,0,0,250,355,347,285,7,535,6.8
gpqa_076,D,B,0,0,0,368,375,424,381,7,969,8.8
gpqa_078,C,D,0,0,0,370,420,588,344,7,735,9.3
gpqa_080,C,C,1,0,0,210,451,679,282,7,561,8.7
gpqa_082,C,B,0,0,0,1024,407,556,1024,7,1233,15.8
gpqa_083,B,B,1,0,0,226,311,467,196,7,356,6.6
gpqa_084,A,A,1,0,0,295,354,454,231,7,541,7.2
gpqa_087,B,B,1,0,0,342,309,478,307,7,507,7.7
gpqa_088,B,A,0,0,0,227,364,650,286,7,564,8.2
gpqa_090,B,A,0,0,0,333,433,581,246,7,514,8.5
gpqa_094,B,B,1,0,0,344,486,530,319,7,607,9.0
gpqa_097,D,B,0,0,0,269,353,538,372,7,582,8.2
gpqa_098,B,A,0,0,0,316,422,494,277,7,665,8.2
gpqa_099,A,C,0,0,0,178,395,452,147,7,406,6.5
gpqa_100,C,A,0,0,0,253,435,677,277,7,531,8.8
gpqa_101,C,C,1,0,0,287,473,531,290,7,756,8.5
gpqa_102,D,C,0,0,0,249,382,561,214,7,592,7.7
gpqa_103,D,C,0,0,0,630,414,366,364,7,611,9.7
gpqa_104,A,B,0,0,0,739,513,504,671,7,935,12.9
gpqa_106,B,A,0,0,0,237,426,448,221,7,534,7.2
gpqa_110,C,A,0,0,0,376,440,393,515,7,891,9.3
gpqa_113,C,C,1,0,0,320,303,534,418,7,638,8.3
gpqa_114,B,B,1,0,0,1024,279,390,346,7,555,10.9
gpqa_116,B,A,0,0,0,228,337,559,244,7,502,7.4
gpqa_117,A,B,0,0,0,230,385,519,224,7,428,7.4
gpqa_118,D,A,0,0,0,382,389,510,297,7,648,8.5
gpqa_119,A,A,1,0,0,191,357,503,209,7,363,6.9
gpqa_125,D,B,0,0,0,295,433,669,369,7,659,9.3
gpqa_127,D,A,0,0,0,797,627,309,1024,7,3869,16.4
gpqa_129,C,A,0,0,0,504,465,675,346,7,503,10.4
gpqa_131,D,C,0,0,0,383,377,561,322,7,683,9.0
gpqa_134,A,C,0,0,0,186,396,420,180,7,571,6.6
gpqa_135,D,D,1,0,0,328,391,431,561,7,778,9.4
gpqa_137,D,A,0,0,0,236,330,501,347,7,550,7.7
gpqa_146,C,A,0,0,0,397,403,633,185,7,351,8.8
gpqa_148,D,D,1,0,0,281,351,368,286,7,568,7.1
gpqa_149,B,D,0,0,0,374,450,468,268,7,548,8.5
gpqa_156,C,D,0,0,0,240,400,383,492,7,734,8.1
gpqa_157,C,D,0,0,0,191,337,547,411,7,653,8.0
gpqa_164,D,D,1,0,0,321,302,592,204,7,514,7.7
gpqa_165,C,D,0,0,0,321,373,233,331,7,1266,7.2
gpqa_168,C,C,1,0,0,255,411,441,234,7,486,7.3
gpqa_169,C,C,1,0,0,472,326,411,282,7,461,8.0
gpqa_170,A,A,1,0,0,270,427,497,324,7,590,8.4
gpqa_173,C,A,0,0,0,391,327,369,266,7,500,7.6
gpqa_175,B,B,1,0,0,1024,452,647,1024,7,1336,16.5
gpqa_180,C,B,0,0,0,218,366,681,233,7,530,8.1
gpqa_184,B,D,0,0,0,403,413,550,199,7,415,8.6
gpqa_188,B,C,0,0,0,165,374,622,218,7,337,7.6
