question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,A,C,0,0,0,344,305,432,150,7,308,17.6
gpqa_002,C,B,0,0,0,1024,385,1024,832,7,1025,30.5
gpqa_007,B,B,1,0,0,200,330,478,307,7,788,12.9
gpqa_009,C,B,0,0,0,102,263,421,150,7,315,9.3
gpqa_010,A,C,0,0,0,75,359,418,266,7,677,11.0
gpqa_012,A,A,1,0,0,192,343,505,121,7,478,11.4
gpqa_013,B,B,1,0,0,105,420,471,78,7,243,10.5
gpqa_018,A,A,1,0,0,328,378,494,282,7,842,14.6
gpqa_019,B,D,0,0,0,163,352,597,275,7,490,13.6
gpqa_022,A,B,0,0,0,158,415,685,226,7,518,14.5
gpqa_023,A,B,0,0,0,302,368,402,110,7,346,11.5
gpqa_025,B,B,1,0,0,424,520,762,328,7,717,19.4
gpqa_026,A,A,1,0,0,105,337,502,144,7,324,10.6
gpqa_028,D,A,0,0,0,350,361,590,157,7,574,14.3
gpqa_035,A,C,0,0,0,66,264,470,134,7,305,9.4
gpqa_040,A,A,1,0,0,104,298,390,80,7,245,8.9
gpqa_042,A,A,1,0,0,105,284,462,158,7,445,10.1
gpqa_046,A,A,1,0,0,444,367,560,104,7,331,14.1
gpqa_049,C,C,1,0,0,52,270,437,287,7,505,10.3
gpqa_052,B,B,1,0,0,1024,338,418,785,7,1017,24.1
gpqa_053,B,C,0,0,0,95,285,589,181,7,384,11.3
gpqa_054,A,A,1,0,0,253,394,471,173,7,392,12.5
gpqa_055,B,B,1,0,0,250,436,424,278,7,555,13.4
gpqa_057,D,C,0,0,0,63,326,464,113,7,217,9.5
gpqa_059,A,A,1,0,0,638,360,533,80,7,291,15.7
gpqa_061,A,A,1,0,0,209,334,477,149,7,419,11.6
gpqa_064,A,A,1,0,0,316,365,426,228,7,536,13.0
gpqa_065,D,D,1,0,0,167,376,575,144,7,285,12.1
gpqa_069,D,D,1,0,0,355,350,466,165,7,348,12.9
gpqa_073,B,C,0,0,0,213,330,586,264,7,440,13.6
gpqa_074,A,A,1,0,0,71,287,375,213,7,866,9.7
gpqa_075,B,B,1,0,0,63,291,497,64,7,299,9.1
gpqa_076,C,B,0,0,0,331,361,605,498,7,1071,17.4
gpqa_078,A,D,0,0,0,216,345,520,310,7,687,13.5
gpqa_080,C,C,1,0,0,59,325,542,326,7,590,12.1
gpqa_082,D,B,0,0,0,858,313,517,160,7,353,17.5
gpqa_083,A,B,0,0,0,202,294,414,186,7,331,10.7
gpqa_084,A,A,1,0,0,220,288,463,78,7,373,10.5
gpqa_087,B,B,1,0,0,69,260,406,137,7,322,8.7
gpqa_088,C,A,0,0,0,133,279,438,122,7,385,9.7
gpqa_090,A,A,1,0,0,183,363,468,201,7,455,11.8
gpqa_094,A,B,0,0,0,319,359,419,240,7,513,12.9
gpqa_097,A,B,0,0,0,110,392,445,214,7,409,11.4
gpqa_098,A,A,1,0,0,191,416,600,231,7,604,13.9
gpqa_099,B,C,0,0,0,125,315,475,139,7,383,10.4
gpqa_100,A,A,1,0,0,209,324,500,229,7,468,12.2
gpqa_101,C,C,1,0,0,340,474,684,272,7,723,17.0
gpqa_102,B,C,0,0,0,229,377,580,328,7,690,14.6
gpqa_103,B,C,0,0,0,222,345,424,145,7,377,11.1
gpqa_104,B,B,1,0,0,1024,294,430,217,7,466,18.9
gpqa_106,B,A,0,0,0,86,304,510,230,7,528,11.1
gpqa_110,C,A,0,0,0,230,382,484,338,7,699,13.9
gpqa_113,C,C,1,0,0,76,382,502,146,7,351,10.9
gpqa_114,B,B,1,0,0,316,292,439,164,7,358,11.8
gpqa_116,B,A,0,0,0,134,279,401,304,7,547,11.1
gpqa_117,A,B,0,0,0,74,373,449,158,7,347,10.4
gpqa_118,A,A,1,0,0,264,418,621,266,7,602,15.1
gpqa_119,B,A,0,0,0,104,250,404,175,7,314,9.4
gpqa_125,A,B,0,0,0,321,405,583,255,7,530,15.0
gpqa_127,A,A,1,0,0,703,367,446,182,7,3010,18.5
gpqa_129,B,A,0,0,0,36,212,330,246,7,388,8.2
gpqa_131,D,C,0,0,0,187,403,654,439,7,785,16.2
gpqa_134,B,C,0,0,0,368,265,406,128,7,504,11.7
gpqa_135,D,D,1,0,0,220,376,604,365,7,568,15.0
gpqa_137,A,A,1,0,0,229,375,476,152,7,340,12.0
gpqa_146,A,A,1,0,0,360,390,384,83,7,234,12.0
gpqa_148,B,D,0,0,0,78,369,578,212,7,479,12.0
gpqa_149,A,D,0,0,0,284,457,650,297,7,562,16.1
gpqa_156,C,D,0,0,0,177,349,577,248,7,475,13.1
gpqa_157,C,D,0,0,0,104,301,415,231,7,458,10.4
gpqa_164,C,D,0,0,0,56,272,447,244,7,539,10.1
gpqa_165,D,D,1,0,0,281,514,452,328,7,1248,15.6
gpqa_168,A,C,0,0,0,99,264,478,118,7,355,9.7
gpqa_169,C,C,1,0,0,251,291,471,71,7,235,10.8
gpqa_170,A,A,1,0,0,203,398,591,134,7,385,12.8
gpqa_173,A,A,1,0,0,602,297,472,101,7,320,14.1
gpqa_175,D,B,0,0,0,1024,375,473,492,7,787,22.7
gpqa_180,A,B,0,0,0,181,470,540,213,7,495,13.5
gpqa_184,B,D,0,0,0,118,282,413,105,7,306,9.3
gpqa_188,B,C,0,0,0,155,386,605,162,7,266,12.5
