question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,C,C,1,0,0,361,265,869,1004,7,1168,18.8
gpqa_002,B,B,1,0,0,553,315,730,560,7,756,13.9
gpqa_007,C,B,0,0,0,462,418,747,513,12,1004,13.3
gpqa_009,B,B,1,0,0,218,377,629,272,12,446,9.6
gpqa_010,C,C,1,0,0,320,303,453,374,7,762,9.3
gpqa_012,A,A,1,0,0,353,422,528,444,7,777,11.0
gpqa_013,B,B,1,0,0,368,415,566,312,7,480,10.6
gpqa_018,D,A,0,0,0,268,443,503,397,7,918,10.3
gpqa_019,D,D,1,0,0,399,269,973,388,7,605,12.7
gpqa_022,D,B,0,0,0,377,327,582,323,7,597,10.2
gpqa_023,C,B,0,0,0,235,417,579,325,7,566,10.5
gpqa_025,B,B,1,0,0,386,425,597,417,7,815,11.6
gpqa_026,D,A,0,0,0,204,354,598,172,7,352,8.7
gpqa_028,B,A,0,0,0,292,433,542,340,7,726,10.4
gpqa_035,A,C,0,0,0,244,293,468,263,7,436,8.2
gpqa_040,A,A,1,0,0,313,345,549,369,7,546,10.5
gpqa_042,C,A,0,0,0,394,307,467,271,7,527,9.3
gpqa_046,D,A,0,0,0,338,402,570,486,7,718,11.3
gpqa_049,D,C,0,0,0,225,433,361,244,7,465,8.3
gpqa_052,C,B,0,0,0,247,555,777,349,7,596,12.1
gpqa_053,C,C,1,0,0,338,344,461,394,7,586,10.0
gpqa_054,B,A,0,0,0,365,410,632,526,7,743,12.3
gpqa_055,B,B,1,0,0,404,304,504,330,7,613,9.9
gpqa_057,D,C,0,0,0,280,316,642,340,7,445,9.9
gpqa_059,C,A,0,0,0,324,336,530,323,7,549,9.7
gpqa_061,C,A,0,0,0,240,380,684,328,12,585,10.3
gpqa_064,C,A,0,0,0,317,392,913,315,7,625,12.1
gpqa_065,C,D,0,0,0,319,286,564,173,7,310,8.7
gpqa_069,C,D,0,0,0,244,329,422,242,7,431,8.2
gpqa_073,C,C,1,0,0,366,341,672,327,7,520,10.8
gpqa_074,A,A,1,0,0,355,514,649,400,7,992,12.1
gpqa_075,D,B,0,0,0,300,324,623,314,7,548,9.9
gpqa_076,B,B,1,0,0,238,323,500,282,7,858,8.8
gpqa_078,C,D,0,0,0,444,406,669,516,7,923,12.8
gpqa_080,C,C,1,0,0,362,420,717,265,7,513,11.0
gpqa_082,C,B,0,0,0,529,359,595,332,7,540,11.5
gpqa_083,B,B,1,0,0,286,275,522,317,7,461,8.9
gpqa_084,C,A,0,0,0,453,427,516,582,7,887,12.7
gpqa_087,B,B,1,0,0,229,302,506,233,7,415,8.2
gpqa_088,C,A,0,0,0,304,396,550,304,7,574,9.9
gpqa_090,B,A,0,0,0,278,289,549,318,7,548,9.1
gpqa_094,C,B,0,0,0,436,302,708,454,7,723,12.1
gpqa_097,D,B,0,0,0,338,324,559,336,7,529,9.8
gpqa_098,A,A,1,0,0,219,344,629,426,7,801,10.3
gpqa_099,A,C,0,0,0,273,401,666,369,7,605,10.7
gpqa_100,C,A,0,0,0,306,253,675,379,7,599,10.1
gpqa_101,D,C,0,0,0,346,498,512,382,7,809,11.2
gpqa_102,C,C,1,0,0,334,343,894,698,7,1058,14.1
gpqa_103,B,C,0,0,0,259,346,562,323,7,564,9.9
gpqa_104,C,B,0,0,0,466,406,625,621,7,885,13.7
gpqa_106,A,A,1,0,0,329,312,453,369,7,651,9.3
gpqa_110,C,A,0,0,0,381,383,664,459,7,780,11.8
gpqa_113,C,C,1,0,0,336,258,609,468,7,659,10.4
gpqa_114,B,B,1,0,0,397,391,700,472,7,673,12.9
gpqa_116,D,A,0,0,0,251,435,632,278,7,510,10.6
gpqa_117,C,B,0,0,0,204,289,626,416,7,592,9.6
gpqa_118,B,A,0,0,0,288,332,619,313,7,629,9.9
gpqa_119,D,A,0,0,0,272,363,476,368,7,514,9.4
gpqa_125,D,B,0,0,0,350,331,607,303,7,568,10.0
gpqa_127,B,A,0,0,0,255,494,830,936,9,3282,16.7
gpqa_129,C,A,0,0,0,270,391,654,367,7,511,10.5
gpqa_131,C,C,1,0,0,331,428,504,453,7,771,10.7
gpqa_134,C,C,1,0,0,283,414,553,407,7,759,10.5
gpqa_135,C,D,0,0,0,623,255,463,413,7,623,10.9
gpqa_137,A,A,1,0,0,276,413,682,336,7,526,10.7
gpqa_146,C,A,0,0,0,384,229,537,481,7,636,10.3
gpqa_148,C,D,0,0,0,299,324,690,428,7,690,10.9
gpqa_149,B,D,0,0,0,375,435,496,352,7,613,10.6
gpqa_156,C,D,0,0,0,348,244,617,401,7,629,10.3
gpqa_157,C,D,0,0,0,276,280,504,329,7,558,8.9
gpqa_164,D,D,1,0,0,298,375,574,254,7,549,9.6
gpqa_165,D,D,1,0,0,244,362,531,415,9,1240,10.2
gpqa_168,A,C,0,0,0,240,358,527,288,7,531,9.4
gpqa_169,C,C,1,0,0,269,262,428,444,7,622,9.5
gpqa_170,A,A,1,0,0,515,430,702,605,7,857,14.1
gpqa_173,C,A,0,0,0,444,441,543,440,12,665,11.9
gpqa_175,B,B,1,0,0,492,411,618,573,7,870,13.2
gpqa_180,B,B,1,0,0,275,396,496,407,7,710,9.9
gpqa_184,B,D,0,0,0,290,253,530,307,12,487,8.9
gpqa_188,B,C,0,0,0,260,276,654,208,7,314,8.9
